init_node,term_node,capacity,length,free_flow_time,b,power,simu_g/c,gamma,n',neta,no_signal,accurate_g/c
94,99,3644,1.87166,1.87166,0.15,4,0.25,0.8,3.2,1,,
94,101,2016,0.78409,0.78409,0.15,4,0.25,0.8,3.2,1,,
95,80,1994,0.76987,0.76987,0.15,4,0.25,0.8,3.2,1,,
95,90,2326,0.99099,0.99099,0.15,4,0.25,0.8,3.2,1,,
95,94,1404,0.37531,0.37531,0.15,4,0.25,0.8,3.2,1,,
95,96,3410,1.71499,1.71499,0.15,4,0.25,0.8,3.2,1,,
96,95,3410,1.71499,1.71499,0.15,4,0.25,0.8,3.2,1,,
96,97,2467,1.08555,1.08555,0.15,4,0.25,0.8,3.2,1,,
96,98,1853,0.67536,0.67536,0.15,4,0.25,0.8,3.2,1,,
96,99,1954,0.7428,0.7428,0.15,4,0.25,0.8,3.2,1,,
97,78,3855,1.36867,1.36867,0.15,4,0.333333333,0.8,3.2,1,,
97,80,3674,1.27835,1.27835,0.15,4,0.333333333,0.8,3.2,1,,
97,96,3289,1.08555,1.08555,0.15,4,0.333333333,0.8,3.2,1,,
98,74,3097,0.98918,0.98918,0.15,4,0.333333333,0.8,3.2,1,,
98,79,2109,0.4943,0.4943,0.15,4,0.333333333,0.8,3.2,1,,
98,96,2470,0.67536,0.67536,0.15,4,0.333333333,0.8,3.2,1,,
99,74,2439,0.65965,0.65965,0.15,4,0.333333333,0.8,3.2,1,,
99,94,4859,1.87166,1.87166,0.15,4,0.333333333,0.8,3.2,1,,
99,96,2605,0.7428,0.7428,0.15,4,0.333333333,0.8,3.2,1,,
100,93,2729,0.80468,0.80468,0.15,4,0.333333333,0.8,3.2,1,,
100,101,3481,1.18172,1.18172,0.15,4,0.333333333,0.8,3.2,1,,
100,102,3601,1.24161,1.24161,0.15,4,0.333333333,0.8,3.2,1,,
101,72,4472,1.67788,1.67788,0.15,4,0.333333333,0.8,3.2,1,,
101,94,2687,0.78409,0.78409,0.15,4,0.333333333,0.8,3.2,1,,
101,100,3481,1.18172,1.18172,0.15,4,0.333333333,0.8,3.2,1,,
102,72,5601,2.24296,2.24296,0.15,4,0.333333333,0.8,3.2,1,,
102,100,3601,1.24161,1.24161,0.15,4,0.333333333,0.8,3.2,1,,
102,103,2581,0.73088,0.73088,0.15,4,0.333333333,0.8,3.2,1,,
103,92,3408,1.71382,1.71382,0.15,4,0.25,0.8,3.2,1,,
103,102,1936,0.73088,0.73088,0.15,4,0.25,0.8,3.2,1,,
